Language,Playouts,Depth,avg_speed_play_PMC,avg_speed_playout_PMC,avg_speed_play_MC,avg_speed_playout_MC,avg_speed_play_AB
Julia,1,1,0.0264,0.0000876,0.027,0.0000869,0.0028
Python,1,1,0.1396,0.000477,0.158,0.0006565,0.0053
Julia,5,2,0.1467,0.0000926,0.131,0.0000895,0.00388
Python,5,2,0.6529,0.000487,0.825,0.000669,0.0187
Julia,10,5,0.25,0.0000789,0.232,0.0000755,0.1516
Python,10,5,1.148,0.00041,1.49,0.000548,2.961
Julia,50,6,1.135,0.000071,1.1,0.000074,5.53
Python,50,6,6.295,0.000464,8.03,0.000635,17.59
Julia,100,7,1.193,0.0000645,1.7,0.000062,10.51
Python,100,7,14.798,0.000448,20.73,0.00071,33.71
Julia,200,NA,3.99,0.000064,3.45,0.0000649,NA
Python,200,NA,NA,NA,NA,NA,NA
