PMCTS full,PMCTS Playout,MCTS full play,MCTS Playout,AB full play,MC vs PMC,PMC vs AB,MC vs AB,Playouts,Language
0.026384493,7.67E-05,0.020276632,7.52E-05,NA,MC,NA,NA,1,Julia
0.026063979,7.40E-05,0.019108048,7.00E-05,NA,MC,NA,NA,1,Julia
0.023018871,7.50E-05,0.025112731,7.46E-05,NA,MC,NA,NA,1,Julia
0.023167354,7.48E-05,0.024534543,7.06E-05,NA,MC,NA,NA,1,Julia
0.020706728,6.92E-05,0.025389627,7.60E-05,NA,PMC,NA,NA,1,Julia
0.020737895,6.85E-05,0.024764886,7.15E-05,NA,PMC,NA,NA,1,Julia
0.02612909,6.92E-05,0.022273249,6.72E-05,NA,MC,NA,NA,1,Julia
0.026165451,6.78E-05,0.021141016,6.36E-05,NA,MC,NA,NA,1,Julia
0.026014507,7.02E-05,0.020387377,7.04E-05,NA,MC,NA,NA,1,Julia
0.021909537,6.99E-05,0.01945077,6.77E-05,NA,MC,NA,NA,1,Julia
0.019784327,7.73E-05,0.019811224,8.18E-05,NA,MC,NA,NA,1,Julia
0.019871482,7.73E-05,0.018979742,7.75E-05,NA,MC,NA,NA,1,Julia
0.026630887,8.43E-05,0.026752574,8.49E-05,NA,MC,NA,NA,1,Julia
0.02232251,8.42E-05,0.025928073,8.05E-05,NA,MC,NA,NA,1,Julia
0.026737345,8.39E-05,0.029396552,8.89E-05,NA,MC,NA,NA,1,Julia
0.02697765,8.38E-05,0.028951296,8.46E-05,NA,MC,NA,NA,1,Julia
0.041964488,9.14608E-05,0.035151737,0.000116771,NA,MC,NA,NA,1,Julia
0.036376609,0.000115067,0.033945243,0.000112671,NA,MC,NA,NA,1,Julia
0.058237527,8.79019E-05,0.057459474,0.000183367,NA,MC,NA,NA,1,Julia
0.059064591,8.79871E-05,0.056435046,0.000179383,NA,MC,NA,NA,1,Julia
0.01742395,7.03E-05,0.024637955,7.57E-05,NA,MC,NA,NA,1,Julia
0.017363966,7.00E-05,0.01910698,7.27E-05,NA,MC,NA,NA,1,Julia
0.02407011,7.91E-05,0.021173298,7.63E-05,NA,MC,NA,NA,1,Julia
0.02422459,7.87E-05,0.02030785,7.39E-05,NA,MC,NA,NA,1,Julia
0.022522491,7.80E-05,0.021759638,7.45E-05,NA,MC,NA,NA,1,Julia
0.022682045,7.80E-05,0.021036016,7.02E-05,NA,MC,NA,NA,1,Julia
0.036883388,9.13018E-05,0.031139442,0.000111659,NA,MC,NA,NA,1,Julia
0.036899116,0.00011137,0.02932311,0.000103137,NA,MC,NA,NA,1,Julia
0.02591647,8.97E-05,0.036031301,0.000103719,NA,PMC,NA,NA,1,Julia
0.026089234,0.000100085,0.029929647,0.000100899,NA,MC,NA,NA,1,Julia
0.026314877,0.000100443,0.030093451,0.000102047,NA,PMC,NA,NA,1,Julia
0.025184705,8.88E-05,0.025195396,8.37E-05,NA,MC,NA,NA,1,Julia
0.025369883,8.90E-05,0.019192466,8.11E-05,NA,MC,NA,NA,1,Julia
0.018674061,6.81E-05,0.021758676,7.54E-05,NA,MC,NA,NA,1,Julia
