PMCTS,MCTS,AB,Playouts,Language,,,,,,,
1.093214,1.109961,0.5107929,1,Python,,,,,,,
1.111975,1.13644,1.198825,1,Python,,,,,,,
1.05027,1.133079,1.696149,1,Python,,,,,,,
1.030706,1.283141,0.661023,1,Python,,,,,,,
1.078775,1.206691,1.035918,1,Python,,,,,,,
1.008855,1.139744,1.057297,1,Python,,,,,,,
1.066694,1.206491,1.09609,1,Python,,,,,,,
1.10373,1.158106,0.8024045,1,Python,,,,,,,
1.135751,1.050702,0.8396014,1,Python,,,,,,,
1.202448,1.161852,0.991936,1,Python,,,,,,,
1.145482,1.057404,0.8481684,1,Python,,,,,,,
1.061946,1.030027,0.6061014,1,Python,,,,,,,
1.197464,1.09321,1.624244,1,Python,,,,,,,
1.086422,1.158134,0.5057723,1,Python,,,,,,,
1.104257,1.146119,0.9465794,1,Python,,,,,,,
1.078879,1.160336,1.099678,1,Python,,,,,,,
1.086224,1.084259,0.9341359,1,Python,,,,,,,
1.048428,1.0974,1.176854,1,Python,,,,,,,
1.06911,1.124859,1.631075,1,Python,,,,,,,
1.091203,1.09636,1.125954,1,Python,,,,,,,
1.147197,1.116955,0.7862339,1,Python,,,,,,,
1.080789,1.034619,1.03348,1,Python,,,,,,,
1.11483,1.12367,0.8329062,1,Python,,,,,,,
1.069458,1.071476,1.135097,1,Python,,,,,,,
1.047887,1.119075,1.290605,1,Python,,,,,,,
1.031501,1.056651,1.41892,1,Python,,,,,,,
1.05479,1.132497,1.232647,1,Python,,,,,,,
1.162128,1.100597,1.236052,1,Python,,,,,,,
1.10702,1.157212,1.521997,1,Python,,,,,,,
1.140481,1.121906,1.26243,1,Python,,,,,,,
1.053752,1.181049,1.646932,1,Python,,,,,,,
1.213504,1.093623,0.4968813,1,Python,,,,,,,
1.022334,1.115099,0.4411741,1,Python,,,,,,,
1.070259,1.147607,1.578582,1,Python,,,,,,,
1.177061,1.082525,0.9897478,1,Python,,,,,,,
1.106794,1.169103,0.8525004,1,Python,,,,,,,
1.17,1.143012,0.5257243,1,Python,,,,,,,
1.048932,1.114695,0.8226061,1,Python,,,,,,,
1.057009,1.134774,1.054212,1,Python,,,,,,,
1.157902,1.167802,0.8415929,1,Python,,,,,,,
1.137433,1.001293,1.44929,1,Python,,,,,,,
1.131741,1.077108,0.6215746,1,Python,,,,,,,
1.104119,1.024525,0.8091963,1,Python,,,,,,,
1.147021,1.126968,0.8319359,1,Python,,,,,,,
1.07806,1.154969,1.394103,1,Python,,,,,,,
1.056218,1.14285,1.132509,1,Python,,,,,,,
1.162923,1.156352,0.9343947,1,Python,,,,,,,
1.21807,0.9774445,1.116221,1,Python,,,,,,,
1.101648,1.047633,1.016226,1,Python,,,,,,,
1.112634,1.187023,1.220449,1,Python,,,,,,,
2.062924,2.09179,NA,10,Python,,,,,,,
1.816114,1.908914,NA,10,Python,,,,,,,
2.132876,2.31713,NA,10,Python,,,,,,,
2.129377,2.120949,NA,10,Python,,,,,,,
1.916128,2.245585,NA,10,Python,,,,,,,
2.026138,2.676422,NA,10,Python,,,,,,,
2.128783,2.098179,NA,10,Python,,,,,,,
2.045928,2.10735,NA,10,Python,,,,,,,
1.938353,2.349477,NA,10,Python,,,,,,,
1.907414,2.40577,NA,10,Python,,,,,,,
1.944333,2.447641,NA,10,Python,,,,,,,
1.835464,1.994384,NA,10,Python,,,,,,,
2.165301,2.719779,NA,10,Python,,,,,,,
1.817421,1.971679,NA,10,Python,,,,,,,
1.859671,2.282591,NA,10,Python,,,,,,,
1.980991,2.42655,NA,10,Python,,,,,,,
1.857383,1.916103,NA,10,Python,,,,,,,
2.003885,2.544437,NA,10,Python,,,,,,,
2.103601,2.230391,NA,10,Python,,,,,,,
2.154121,2.08332,NA,10,Python,,,,,,,
2.012741,1.92184,NA,10,Python,,,,,,,
1.87846,2.315035,NA,10,Python,,,,,,,
1.951035,2.330731,NA,10,Python,,,,,,,
1.972651,2.287453,NA,10,Python,,,,,,,
2.035803,2.163072,NA,10,Python,,,,,,,
2.014674,2.479938,NA,10,Python,,,,,,,
2.090463,2.005016,NA,10,Python,,,,,,,
1.816066,2.174068,NA,10,Python,,,,,,,
2.115138,2.005696,NA,10,Python,,,,,,,
1.89397,2.173705,NA,10,Python,,,,,,,
2.066185,2.51817,NA,10,Python,,,,,,,
2.088564,2.114125,NA,10,Python,,,,,,,
2.041127,2.482711,NA,10,Python,,,,,,,
1.903242,2.321682,NA,10,Python,,,,,,,
2.125293,2.047855,NA,10,Python,,,,,,,
2.103229,2.621324,NA,10,Python,,,,,,,
1.976069,2.367343,NA,10,Python,,,,,,,
2.10689,2.107552,NA,10,Python,,,,,,,
2.118713,1.983303,NA,10,Python,,,,,,,
1.995415,1.911794,NA,10,Python,,,,,,,
1.964757,2.389391,NA,10,Python,,,,,,,
2.014873,2.34143,NA,10,Python,,,,,,,
1.992595,1.983665,NA,10,Python,,,,,,,
2.02204,1.93319,NA,10,Python,,,,,,,
2.035446,2.627721,NA,10,Python,,,,,,,
1.980279,1.944912,NA,10,Python,,,,,,,
2.027213,1.685094,NA,10,Python,,,,,,,
1.971357,2.259271,NA,10,Python,,,,,,,
1.983072,1.931486,NA,10,Python,,,,,,,
2.083557,2.070644,NA,10,Python,,,,,,,
13.3774,12.29376,NA,100,Python,,,,,,,
13.16419,12.57495,NA,100,Python,,,,,,,
13.37208,11.19506,NA,100,Python,,,,,,,
13.01619,11.96801,NA,100,Python,,,,,,,
14.18668,13.16147,NA,100,Python,,,,,,,
13.81615,12.21008,NA,100,Python,,,,,,,
12.49571,12.98797,NA,100,Python,,,,,,,
